elapsed_time,highest_quality,iteration
45,5950,1
56,5950,2
73,5950,3
124,5950,4
198,5950,5
204,5950,6
209,5950,7
214,5950,8
267,5950,9
267,5950,10
302,5950,11
347,5950,12
360,5950,13
362,5950,14
413,5950,15
459,5950,16
473,5950,17
505,5950,18
579,5950,19
630,5950,20
643,5950,21
646,5950,22
691,5950,23
698,5950,24
762,6014,25
799,6014,26
815,6014,27
868,6014,28
918,6014,29
933,6014,30
939,6014,31
982,6014,32
1061,6014,33
1064,6014,34
1099,6014,35
1113,6014,36
1167,6014,37
1187,6014,38
1192,6014,39
1246,6014,40
1271,6014,41
1280,6014,42
1321,6014,43
1331,6014,44
1397,6014,45
1458,6014,46
1497,6052,47
1541,6052,48
1611,6052,49
1646,6052,50
1652,6052,51
1679,6052,52
1756,6052,53
1841,6052,54
1897,6052,55
1956,6052,56
1993,6052,57
2078,6052,58
2135,6052,59
2152,6052,60
2158,6052,61
2253,6052,62
2260,6052,63
2282,6052,64
2283,6052,65
2309,6052,66
2353,6052,67
2360,6052,68
2368,6052,69
2417,6052,70
2487,6052,71
2559,6052,72
2615,6052,73
2655,6052,74
2688,6052,75
2705,6052,76
2775,6052,77
2806,6052,78
2887,6052,79
2958,6052,80
2973,6052,81
2975,6052,82
3045,6052,83
3112,6052,84
3118,6052,85
3118,6052,86
3175,6052,87
3285,6052,88
3339,6116,89
3372,6116,90
3441,6116,91
3478,6116,92
3492,6116,93
3492,6116,94
3541,6116,95
3556,6116,96
3578,6116,97
3580,6116,98
3640,6116,99
3694,6116,100
3713,6116,101
3740,6116,102
3821,6116,103
3864,6116,104
3865,6116,105
3884,6116,106
3952,6116,107
3957,6116,108
3977,6116,109
3982,6116,110
4029,6116,111
4074,6116,112
4083,6116,113
4149,6116,114
4233,6116,115
4242,6116,116
4298,6116,117
4313,6116,118
4315,6116,119
4383,6116,120
4466,6116,121
4485,6116,122
4504,6116,123
4519,6116,124
4566,6116,125
4576,6116,126
4576,6116,127
4583,6116,128
4650,6116,129
4673,6116,130
4745,6116,131
4761,6116,132
4797,6116,133
4894,6116,134
4925,6116,135
4958,6116,136
5027,6116,137
5047,6116,138
5096,6116,139
5113,6116,140
5172,6116,141
5215,6116,142
5268,6116,143
5271,6116,144
5292,6116,145
5337,6116,146
5368,6116,147
5447,6116,148
5562,6116,149
5579,6116,150
5651,6116,151
5680,6116,152
5718,6116,153
5787,6116,154
5813,6116,155
5881,6116,156
5929,6116,157
5934,6116,158
5985,6116,159
6018,6349,160
6033,6349,161
6034,6349,162
6126,6349,163
6182,6349,164
6238,6349,165
6259,6349,166
6265,6349,167
6288,6349,168
6319,6349,169
6321,6349,170
6411,6349,171
6411,6349,172
6507,6349,173
6523,6349,174
6581,6349,175
6601,6349,176
6654,6349,177
6706,6349,178
6748,6349,179
6755,6349,180
6801,6349,181
6870,6349,182
6911,6349,183
6941,6349,184
6999,6349,185
7028,6349,186
7093,6349,187
7116,6349,188
7172,6349,189
7231,6349,190
