elapsed_time,highest_quality,iteration
1,1898,1
2,2520,2
4,2840,3
7,2937,4
9,2937,5
10,2937,6
12,2937,7
12,2937,8
13,2937,9
16,2937,10
16,2937,11
19,2937,12
21,2937,13
22,2937,14
24,2937,15
26,2937,16
28,2937,17
29,2937,18
31,2937,19
33,3544,20
34,3544,21
36,3544,22
38,3544,23
38,3544,24
39,3544,25
42,3544,26
44,3544,27
45,3544,28
46,3544,29
47,3544,30
49,3544,31
51,3544,32
52,3544,33
53,3544,34
54,3544,35
57,3544,36
58,3544,37
61,3544,38
61,3544,39
64,3544,40
66,3544,41
67,3544,42
69,3544,43
71,3544,44
72,3544,45
75,3544,46
77,3544,47
78,3544,48
80,3544,49
82,3544,50
83,3544,51
85,3544,52
87,3544,53
88,3544,54
89,3544,55
91,3544,56
92,3544,57
93,3544,58
97,3544,59
98,3544,60
100,3544,61
100,3544,62
102,3544,63
104,3544,64
106,3544,65
107,3544,66
108,3544,67
111,3544,68
111,3544,69
113,3544,70
114,3544,71
117,3544,72
119,3544,73
120,3544,74
121,3544,75
122,3544,76
123,3544,77
124,3544,78
125,3544,79
127,3544,80
130,3544,81
132,3544,82
134,3544,83
134,3544,84
137,3544,85
139,3544,86
141,3544,87
142,3544,88
144,3544,89
146,3544,90
148,3544,91
149,3544,92
151,3544,93
152,3544,94
153,3544,95
154,3544,96
156,3544,97
157,3544,98
158,3544,99
159,3544,100
161,3544,101
163,3544,102
164,3544,103
165,3544,104
166,3544,105
168,3544,106
170,3544,107
171,3544,108
173,3544,109
175,3544,110
177,3544,111
180,3544,112
182,3544,113
184,3544,114
187,3544,115
189,3544,116
192,3544,117
194,3544,118
195,3544,119
198,3544,120
199,3544,121
200,3544,122
203,3544,123
205,3544,124
208,3544,125
209,3544,126
212,3544,127
214,3544,128
216,3544,129
217,3544,130
219,3544,131
220,3544,132
222,3544,133
224,3544,134
225,3544,135
226,3544,136
227,3544,137
229,3544,138
231,3544,139
233,3544,140
236,3544,141
237,3544,142
238,3544,143
239,3544,144
240,3544,145
241,3544,146
242,3544,147
243,3544,148
246,3571,149
246,3571,150
247,3571,151
250,3571,152
251,3571,153
254,3571,154
255,3571,155
256,3571,156
258,3571,157
261,3571,158
262,3571,159
263,3571,160
266,3571,161
267,3571,162
268,3571,163
270,3571,164
272,3571,165
273,3571,166
274,3571,167
276,3571,168
279,3571,169
280,3571,170
281,3571,171
284,3571,172
285,3571,173
288,3571,174
289,3571,175
290,3571,176
293,3571,177
294,3571,178
297,3571,179
298,3571,180
301,3571,181
302,3571,182
305,3571,183
306,3571,184
308,3571,185
309,3571,186
312,3571,187
312,3571,188
314,3571,189
314,3571,190
317,3571,191
318,3571,192
319,3571,193
320,3571,194
323,3571,195
324,3571,196
325,3571,197
326,3571,198
329,3571,199
331,3571,200
332,3571,201
333,3571,202
334,3571,203
336,3571,204
337,3571,205
338,3571,206
339,3571,207
341,3571,208
342,3571,209
345,3571,210
346,3571,211
348,3571,212
350,3571,213
352,3571,214
355,3571,215
356,3571,216
358,3628,217
359,3628,218
360,3628,219
361,3628,220
364,3628,221
365,3628,222
365,3628,223
366,3628,224
368,3628,225
370,3628,226
372,3628,227
374,3628,228
374,3628,229
376,3628,230
377,3628,231
378,3628,232
379,3628,233
381,3628,234
383,3628,235
385,3628,236
387,3628,237
388,3628,238
390,3628,239
391,3628,240
392,3628,241
395,3628,242
396,3628,243
396,3628,244
399,3636,245
400,3636,246
402,3636,247
404,3636,248
407,3636,249
409,3636,250
411,3636,251
413,3636,252
414,3636,253
415,3636,254
417,3636,255
419,3636,256
420,3636,257
422,3636,258
424,3636,259
427,3636,260
429,3636,261
432,3636,262
435,3636,263
436,3636,264
439,3636,265
441,3636,266
442,3636,267
443,3636,268
445,3636,269
446,3636,270
447,3636,271
448,3636,272
449,3636,273
449,3636,274
451,3636,275
453,3636,276
454,3636,277
456,3636,278
457,3636,279
459,3636,280
461,3636,281
463,3636,282
465,3636,283
468,3636,284
470,3636,285
471,3636,286
474,3636,287
475,3636,288
477,3671,289
479,3671,290
481,3671,291
483,3671,292
484,3671,293
487,3671,294
487,3671,295
488,3671,296
490,3671,297
492,3671,298
493,3671,299
494,3671,300
497,3671,301
500,3671,302
502,3671,303
505,3671,304
505,3671,305
507,3671,306
507,3671,307
509,3671,308
512,3671,309
513,3671,310
514,3671,311
515,3671,312
517,3671,313
520,3671,314
521,3671,315
524,3671,316
526,3671,317
528,3671,318
531,3671,319
533,3671,320
535,3671,321
537,3671,322
539,3671,323
540,3671,324
541,3671,325
542,3671,326
545,3671,327
548,3671,328
549,3671,329
550,3671,330
551,3671,331
552,3671,332
554,3671,333
555,3671,334
556,3671,335
557,3671,336
560,3671,337
563,3671,338
565,3727,339
565,3727,340
568,3727,341
568,3727,342
571,3727,343
573,3727,344
575,3727,345
576,3727,346
579,3727,347
579,3727,348
582,3727,349
584,3727,350
587,3727,351
587,3727,352
590,3727,353
591,3727,354
593,3727,355
595,3727,356
596,3727,357
596,3727,358
597,3727,359
598,3727,360
600,3727,361
603,3727,362
604,3727,363
604,3727,364
607,3727,365
609,3727,366
610,3727,367
612,3727,368
614,3727,369
617,3727,370
618,3727,371
620,3727,372
621,3727,373
623,3727,374
626,3727,375
628,3727,376
631,3727,377
632,3727,378
634,3727,379
634,3727,380
637,3727,381
639,3727,382
641,3727,383
642,3727,384
644,3727,385
645,3727,386
646,3727,387
647,3727,388
648,3727,389
650,3727,390
652,3727,391
654,3727,392
657,3727,393
659,3727,394
660,3727,395
663,3727,396
665,3727,397
667,3727,398
669,3727,399
672,3727,400
673,3727,401
674,3727,402
675,3727,403
676,3727,404
678,3851,405
679,3851,406
680,3851,407
682,3851,408
684,3851,409
685,3851,410
686,3851,411
687,3851,412
689,3851,413
691,3851,414
691,3851,415
694,3851,416
696,3851,417
697,3851,418
700,3851,419
702,3851,420
704,3851,421
706,3851,422
708,3851,423
710,3851,424
711,3851,425
712,3851,426
714,3851,427
715,3851,428
717,3851,429
719,3851,430
721,3851,431
723,3851,432
725,3851,433
728,3851,434
729,3851,435
730,3851,436
733,3851,437
734,3851,438
736,3851,439
739,3851,440
741,3851,441
742,3851,442
743,3851,443
745,3851,444
747,3851,445
748,3851,446
748,3851,447
751,3851,448
751,3851,449
753,3851,450
754,3851,451
757,3851,452
758,3851,453
760,3851,454
760,3851,455
761,3851,456
763,3851,457
763,3851,458
765,3851,459
767,3851,460
769,3851,461
771,3851,462
773,3851,463
776,3851,464
777,3851,465
779,3851,466
779,3851,467
781,3851,468
782,3851,469
783,4309,470
785,4309,471
785,4309,472
787,4309,473
789,4309,474
791,4309,475
792,4309,476
793,4309,477
796,4309,478
797,4309,479
800,4309,480
801,4309,481
803,4309,482
804,4309,483
807,4309,484
809,4309,485
810,4309,486
811,4309,487
813,4309,488
814,4309,489
816,4309,490
817,4309,491
818,4309,492
820,4309,493
821,4309,494
822,4309,495
823,4309,496
824,4309,497
824,4309,498
826,4309,499
829,4309,500
831,4309,501
832,4309,502
833,4309,503
836,4309,504
837,4309,505
840,4309,506
840,4309,507
842,4309,508
843,4309,509
844,4309,510
847,4309,511
848,4309,512
850,4309,513
851,4309,514
852,4309,515
854,4309,516
858,4309,517
859,4309,518
861,4309,519
863,4309,520
864,4309,521
865,4309,522
866,4309,523
868,4309,524
870,4309,525
871,4309,526
872,4309,527
873,4309,528
874,4309,529
878,4309,530
881,4309,531
882,4309,532
885,4309,533
885,4309,534
887,4309,535
890,4309,536
893,4309,537
894,4309,538
896,4309,539
897,4309,540
897,4309,541
899,4309,542
901,4309,543
902,4309,544
904,4309,545
905,4309,546
907,4309,547
908,4309,548
911,4309,549
914,4309,550
915,4309,551
918,4309,552
919,4309,553
921,4309,554
922,4309,555
925,4309,556
927,4309,557
927,4309,558
929,4309,559
932,4309,560
933,4309,561
935,4309,562
937,4309,563
938,4309,564
941,4309,565
941,4309,566
943,4309,567
946,4309,568
947,4309,569
948,4309,570
950,4309,571
951,4309,572
954,4309,573
955,4309,574
958,4309,575
960,4309,576
963,4309,577
964,4309,578
966,4309,579
967,4309,580
968,4309,581
971,4309,582
972,4309,583
974,4309,584
976,4309,585
978,4309,586
979,4309,587
982,4309,588
984,4309,589
985,4309,590
987,4309,591
988,4309,592
989,4309,593
991,4309,594
992,4309,595
994,4309,596
996,4309,597
999,4309,598
1001,4309,599
1002,4309,600
1004,4309,601
1005,4309,602
1007,4309,603
1010,4309,604
1012,4309,605
1013,4309,606
1015,4309,607
1017,4309,608
1018,4309,609
1019,4309,610
1020,4309,611
1020,4309,612
1024,4309,613
1024,4309,614
1025,4309,615
1027,4309,616
1029,4309,617
1032,4309,618
1032,4309,619
1034,4309,620
1037,4309,621
1039,4309,622
1042,4309,623
1044,4309,624
1045,4309,625
1047,4309,626
1048,4309,627
1050,4309,628
1052,4309,629
1054,4309,630
1055,4309,631
1058,4309,632
1060,4309,633
1061,4309,634
1063,4309,635
1065,4309,636
1065,4309,637
1068,4309,638
1070,4309,639
1073,4309,640
1075,4309,641
1076,4309,642
1078,4309,643
1079,4309,644
1081,4309,645
1083,4309,646
1084,4309,647
1084,4309,648
1085,4309,649
1086,4309,650
1086,4309,651
1088,4309,652
1089,4309,653
1091,4309,654
1091,4309,655
1092,4309,656
1095,4309,657
1097,4309,658
1100,4309,659
1102,4309,660
1103,4309,661
1106,4309,662
1109,4309,663
1110,4309,664
1113,4309,665
1115,4309,666
1116,4309,667
1118,4309,668
1121,4309,669
1122,4309,670
1124,4309,671
1127,4309,672
1129,4309,673
1131,4309,674
1133,4309,675
1134,4309,676
1135,4309,677
1137,4309,678
1140,4309,679
1142,4309,680
1143,4309,681
1144,4309,682
1145,4309,683
1148,4309,684
1150,4309,685
1153,4309,686
1153,4309,687
1156,4309,688
1158,4309,689
1158,4309,690
1159,4309,691
1160,4309,692
1163,4309,693
1164,4309,694
1166,4309,695
1168,4309,696
1170,4309,697
1171,4309,698
1174,4309,699
1175,4309,700
1176,4309,701
1178,4309,702
1179,4309,703
1181,4309,704
1182,4309,705
1185,4309,706
1187,4309,707
1189,4309,708
1190,4309,709
1192,4309,710
1193,4309,711
1194,4309,712
1195,4309,713
1196,4309,714
1197,4309,715
1199,4309,716
1202,4309,717
1203,4309,718
1204,4309,719
1206,4309,720
1208,4309,721
1209,4309,722
1210,4309,723
1212,4309,724
1214,4309,725
1215,4309,726
1217,4309,727
1218,4309,728
1219,4309,729
1222,4309,730
1223,4309,731
1225,4309,732
1227,4309,733
1230,4309,734
1232,4309,735
1235,4309,736
1236,4309,737
1237,4309,738
1239,4309,739
1240,4309,740
1241,4309,741
1242,4309,742
1244,4309,743
1245,4309,744
1246,4309,745
1247,4309,746
1250,4309,747
1251,4309,748
1252,4309,749
1255,4309,750
1258,4309,751
1261,4309,752
1262,4309,753
1263,4309,754
1266,4309,755
1267,4309,756
1269,4309,757
1270,4309,758
1271,4309,759
1273,4309,760
1275,4309,761
1278,4309,762
1280,4309,763
1281,4309,764
1283,4309,765
1284,4309,766
1284,4309,767
1285,4309,768
1287,4309,769
1287,4309,770
1288,4309,771
1290,4309,772
1292,4309,773
1295,4309,774
1296,4309,775
1297,4309,776
1301,4309,777
1302,4309,778
1305,4309,779
1306,4309,780
1308,4309,781
1311,4309,782
1313,4309,783
1315,4309,784
1315,4309,785
1316,4309,786
1318,4309,787
1319,4309,788
1320,4309,789
1321,4309,790
1323,4309,791
1326,4309,792
1327,4309,793
1328,4309,794
1329,4309,795
1330,4309,796
1331,4309,797
1333,4309,798
1335,4309,799
1336,4309,800
1337,4309,801
1338,4309,802
1341,4309,803
1344,4309,804
1345,4309,805
1348,4309,806
1348,4309,807
1349,4309,808
1352,4309,809
1353,4309,810
1355,4309,811
1357,4309,812
1358,4309,813
1360,4309,814
1361,4309,815
1363,4309,816
1364,4309,817
1365,4309,818
1367,4309,819
1368,4309,820
1369,4309,821
1370,4309,822
1373,4309,823
1374,4309,824
1374,4309,825
1377,4309,826
1379,4309,827
1380,4309,828
1382,4309,829
1385,4309,830
1387,4309,831
1389,4309,832
1390,4309,833
1392,4309,834
1394,4309,835
1395,4309,836
1396,4309,837
1398,4309,838
1399,4309,839
1401,4309,840
1403,4309,841
1404,4309,842
1405,4309,843
1407,4309,844
