elapsed_time,highest_quality,iteration
1,3470,1
5,3606,2
6,3606,3
10,3606,4
11,3606,5
15,3606,6
16,3606,7
19,4256,8
22,4256,9
25,4256,10
28,4256,11
30,4256,12
32,4256,13
34,4256,14
35,4256,15
37,4256,16
39,4256,17
41,4256,18
42,4256,19
44,4256,20
45,4256,21
48,4256,22
50,4256,23
53,4256,24
55,4256,25
58,4256,26
62,4256,27
63,4256,28
65,4256,29
67,4256,30
68,4256,31
70,4256,32
72,4256,33
75,4256,34
78,4256,35
81,4256,36
84,4405,37
86,4405,38
88,4405,39
90,4405,40
91,4405,41
94,4405,42
96,4405,43
98,4405,44
100,4405,45
103,4405,46
106,4405,47
107,4405,48
112,4405,49
115,4405,50
117,4405,51
119,4405,52
122,4405,53
123,4405,54
125,4405,55
127,4405,56
129,4405,57
132,4405,58
134,4405,59
136,4405,60
139,4405,61
143,4405,62
145,4405,63
148,4405,64
151,4405,65
155,4405,66
158,4405,67
161,4405,68
164,4405,69
167,4405,70
168,4405,71
171,4405,72
172,4405,73
174,4405,74
175,4405,75
176,4405,76
179,4405,77
180,4405,78
182,4405,79
183,4405,80
186,4405,81
190,4405,82
191,4405,83
194,4405,84
196,4405,85
199,4405,86
201,4405,87
203,4405,88
205,4405,89
207,4405,90
209,4405,91
211,4405,92
214,4405,93
215,4405,94
219,4405,95
220,4405,96
223,4405,97
226,4405,98
227,4405,99
228,4405,100
232,4405,101
235,4405,102
238,4405,103
240,4405,104
242,4405,105
243,4405,106
245,4405,107
246,4405,108
250,4405,109
251,4405,110
254,4405,111
256,4405,112
259,4405,113
260,4405,114
263,4405,115
264,4405,116
265,4405,117
269,4405,118
272,4405,119
274,4405,120
276,4405,121
280,4405,122
282,4405,123
284,4405,124
286,4405,125
288,4405,126
292,4405,127
293,4405,128
297,4405,129
299,4405,130
302,4405,131
304,4405,132
306,4405,133
309,4405,134
312,4405,135
313,4405,136
317,4405,137
319,4405,138
322,4405,139
324,4405,140
326,4405,141
329,4405,142
333,4405,143
337,4405,144
339,4405,145
342,4405,146
345,4405,147
346,4405,148
350,4405,149
352,4405,150
355,4405,151
356,4405,152
360,4405,153
361,4405,154
362,4405,155
363,4405,156
364,4405,157
366,4405,158
368,4405,159
369,4405,160
371,4405,161
372,4405,162
375,4405,163
377,4405,164
382,4405,165
384,4405,166
388,4405,167
389,4405,168
390,4405,169
392,4405,170
394,4405,171
398,4405,172
400,4405,173
404,4405,174
405,4405,175
409,4405,176
413,4405,177
415,4405,178
416,4405,179
418,4405,180
421,4405,181
422,4405,182
425,4405,183
429,4405,184
432,4405,185
433,4405,186
436,4405,187
440,4405,188
441,4405,189
442,4405,190
445,4405,191
447,4405,192
450,4405,193
454,4405,194
458,4405,195
459,4405,196
461,4405,197
462,4405,198
466,4405,199
467,4405,200
469,4405,201
471,4405,202
473,4405,203
474,4405,204
476,4405,205
479,4405,206
481,4405,207
483,4405,208
486,4405,209
490,4405,210
491,4405,211
494,4405,212
497,4405,213
499,4405,214
502,4405,215
504,4405,216
506,4405,217
510,4405,218
513,4405,219
515,4405,220
516,4405,221
519,4405,222
520,4405,223
522,4405,224
524,4405,225
527,4405,226
529,4405,227
532,4405,228
533,4405,229
536,4405,230
539,4405,231
541,4405,232
542,4405,233
544,4405,234
546,4405,235
547,4405,236
549,4405,237
551,4405,238
553,4405,239
556,4405,240
558,4405,241
560,4405,242
564,4405,243
565,4405,244
567,4405,245
571,4405,246
572,4405,247
573,4405,248
577,4405,249
580,4405,250
582,4405,251
583,4405,252
586,4405,253
590,4405,254
593,4405,255
595,4405,256
598,4405,257
601,4405,258
602,4405,259
604,4405,260
605,4405,261
606,4405,262
609,4405,263
611,4405,264
613,4405,265
616,4405,266
619,4405,267
621,4405,268
623,4405,269
626,4405,270
629,4405,271
632,4405,272
633,4405,273
635,4405,274
636,4405,275
639,4405,276
641,4405,277
643,4405,278
646,4405,279
648,4405,280
650,4405,281
652,4405,282
654,4562,283
658,4562,284
659,4562,285
660,4562,286
661,4562,287
665,4562,288
666,4562,289
669,4562,290
672,4562,291
676,4562,292
678,4562,293
681,4562,294
683,4562,295
684,4562,296
686,4562,297
689,4562,298
690,4562,299
692,4562,300
693,4562,301
695,4562,302
698,4562,303
701,4562,304
704,4562,305
707,4562,306
710,4562,307
712,4562,308
715,4562,309
716,4562,310
717,4562,311
720,4562,312
722,4562,313
725,4562,314
727,4562,315
729,4562,316
733,4562,317
734,4562,318
736,4562,319
738,4562,320
740,4562,321
742,4562,322
744,4562,323
746,4562,324
748,4562,325
751,4562,326
754,4562,327
756,4562,328
759,4562,329
761,4562,330
763,4562,331
764,4562,332
767,4562,333
769,4562,334
773,4562,335
776,4562,336
778,4562,337
780,4562,338
784,4562,339
787,4562,340
788,4562,341
791,4562,342
794,4562,343
796,4562,344
798,4562,345
801,4562,346
804,4562,347
805,4562,348
809,4562,349
810,4562,350
813,4562,351
816,4562,352
819,4562,353
821,4562,354
823,4562,355
825,4562,356
826,4562,357
828,4562,358
832,4562,359
834,4562,360
836,4562,361
840,4562,362
842,4562,363
845,4562,364
847,4562,365
850,4562,366
853,4562,367
854,4562,368
856,4562,369
858,4562,370
861,4562,371
862,4562,372
865,4562,373
867,4562,374
870,4562,375
872,4562,376
875,4562,377
876,4562,378
879,4562,379
882,4562,380
883,4562,381
886,4562,382
888,4562,383
892,4562,384
893,4562,385
895,4562,386
896,4562,387
897,4562,388
899,4562,389
900,4562,390
903,4562,391
906,4562,392
909,4562,393
911,4562,394
913,4562,395
915,4562,396
917,4562,397
918,4562,398
920,4562,399
923,4562,400
926,4562,401
928,4562,402
930,4562,403
932,4562,404
933,4562,405
935,4562,406
938,4562,407
942,4562,408
943,4562,409
944,4562,410
946,4562,411
949,4562,412
951,4562,413
955,4562,414
957,4562,415
958,4562,416
961,4562,417
962,4562,418
965,4562,419
966,4562,420
967,4562,421
971,4562,422
972,4562,423
976,4562,424
979,4562,425
983,4562,426
985,4562,427
988,4562,428
989,4562,429
